"","ID","p_value_UT_max","p_value_test_min","M_HOM0.1","M_HOM0.2","M_HOM0.3","hom_by_AIC","M_AIC.1","M_AIC.2","M_AIC.3","p_value_UT_hom_AIC","p_value_S_hom_AIC","hom_by_AIC_corr","M_AIC_corr.1","M_AIC_corr.2","M_AIC_corr.3","p_value_UT_hom_AIC_corr","p_value_S_hom_AIC_corr","het_by_AIC","S_AIC.1","S_AIC.2","S_AIC.3","p_value_UT_het_AIC","p_value_S_het_AIC","het_by_AIC_corr","S_AIC_corr.1","S_AIC_corr.2","S_AIC_corr.3","p_value_UT_het_AIC_corr","p_value_S_het_AIC_corr","by_AIC","Delta_AIC","by_AIC_corr","Delta_AIC_corr"
"51","Mo_MMC_MG1655",0.5840,0.0000,9.754545e+00,7.733148e-01,4.859191e+01,"HOM1",  5.16645263,  1.64400809, 18.34835025,0.5840,0.3531,"HOM1",5.166453e+00,1.644008e+00,1.834835e+01,0.5840,0.3531,"HET2",2.034090e+00,5.723588e-01,5.324801e+02,0.4028,0.4570,"HET0",1.408019e+01,3.615981e+00,3.820415e+01,0.4790,0.0087,"HOM1", -1.733904878,"HOM1", -1.249795013
"52","Mo_MMC_SulA",0.8455,0.0000,4.128143e+00,8.025673e-02,1.151591e+02,"HOM1",  3.42943005,  0.69645292, 16.85784934,0.8422,0.4842,"HOM1",3.429430e+00,6.964529e-01,1.685785e+01,0.8422,0.4842,"HET0",1.302941e+01,3.581607e+00,3.498067e+01,0.8645,0.7128,"HET0",1.302941e+01,3.581607e+00,3.498067e+01,0.8645,0.7128,"HOM1", -1.815451400,"HOM1", -0.148784733
"53","Mo_Nitro_MG1655",0.4436,0.0000,8.792652e+00,6.970583e-01,2.896519e+01,"HOM1",  3.57275473,  1.20648190, 11.96248312,0.3909,0.3777,"HOM1",3.572755e+00,1.206482e+00,1.196248e+01,0.3909,0.3777,"HET0",1.379753e+01,4.221778e+00,3.732997e+01,0.4223,0.1247,"HET0",1.379753e+01,4.221778e+00,3.732997e+01,0.4223,0.1247,"HET0",  2.383412913,"HET0",  4.050079580
"54","Mo_Nitro_SulA",0.8836,0.0000,1.372758e+01,2.668828e-01,2.100498e+02,"HOM1", 11.48739753,  5.80530938, 24.95321045,0.8836,0.4137,"HOM1",1.148740e+01,5.805309e+00,2.495321e+01,0.8836,0.4137,"HET0",5.272926e+01,2.838152e+01,1.070082e+02,0.9686,0.0855,"HET0",5.272926e+01,2.838152e+01,1.070082e+02,0.9686,0.0855,"HOM1", -3.217358781,"HOM1", -1.550692114
"55","Mo_Novo_MG1655",0.4512,0.0000,1.190526e+00,9.438180e-02,1.389411e+01,"N1",  1.00000000,  1.00000000,  1.00000000,0.4130,0.4901,"N1",1.000000e+00,1.000000e+00,1.000000e+00,0.4130,0.4901,"HET0",2.238948e+00,0.000000e+00,1.199893e+01,0.3694,0.5230,"HET0",2.238948e+00,0.000000e+00,1.199893e+01,0.3694,0.5230,"HET0",  0.719842020,"HET0",  0.719842020
"56","Mo_Novo_SulA",0.8913,0.0000,4.313559e+00,8.386148e-02,5.260657e+01,"N2",  1.00000000,  1.00000000,  1.00000000,0.7867,0.3503,"N0",1.000000e+00,1.000000e+00,1.000000e+00,0.9489,0.0844,"HET0",2.661204e+00,0.000000e+00,1.246926e+01,0.9724,0.1677,"N0",0.000000e+00,0.000000e+00,0.000000e+00,0.9489,0.0844,"N2", -1.779614590,"N0",  0.000000000
"57","Mo_Strep_MG1655",0.5301,0.0000,2.079376e+00,1.648475e-01,4.804916e+00,"N1",  1.00000000,  1.00000000,  1.00000000,0.3732,0.5107,"N0",1.000000e+00,1.000000e+00,1.000000e+00,0.0863,0.1823,"N0",0.000000e+00,0.000000e+00,0.000000e+00,0.0863,0.1823,"N0",0.000000e+00,0.000000e+00,0.000000e+00,0.0863,0.1823,"N1", -0.173738457,"N0",  0.000000000
"58","Mo_Strep_SulA",0.8710,0.0000,3.149265e+00,6.122602e-02,5.311452e+01,"N1",  1.00000000,  1.00000000,  1.00000000,0.9481,0.2099,"N1",1.000000e+00,1.000000e+00,1.000000e+00,0.9481,0.2099,"HET0",1.884576e+00,0.000000e+00,1.195709e+01,0.8862,0.5623,"HET0",1.884576e+00,0.000000e+00,1.195709e+01,0.8862,0.5623,"N1", -1.148111993,"N1", -1.148111993
"59","Mo_Trim_MG1655",0.6346,0.0000,2.542558e+00,2.015673e-01,9.622345e+00,"N1",  1.00000000,  1.00000000,  1.00000000,0.6747,0.3671,"N1",1.000000e+00,1.000000e+00,1.000000e+00,0.6747,0.3671,"N0",0.000000e+00,0.000000e+00,0.000000e+00,0.4487,0.0313,"N0",0.000000e+00,0.000000e+00,0.000000e+00,0.4487,0.0313,"N1", -1.026657117,"N1", -0.093323783
"60","Mo_Trim_SulA",0.8986,0.0000,1.546621e+01,3.006843e-01,1.259265e+02,"N2",  1.00000000,  1.00000000,  1.00000000,0.7798,0.5313,"N2",1.000000e+00,1.000000e+00,1.000000e+00,0.7798,0.5313,"HET2",1.812228e+06,1.314378e+05,7.306031e+07,0.8977,0.6101,"HET2",1.812228e+06,1.314378e+05,7.306031e+07,0.8977,0.6101,"N2", -4.608147250,"N2", -7.322432964
