"","ID","model","status","mu_UT_MLE","mu_UT_lower_bound","mu_UT_upper_bound","fitm_UT_MLE","fitm_UT_lower_bound","fitm_UT_upper_bound","mu_S_MLE","mu_S_lower_bound","mu_S_upper_bound","fitm_S_MLE","fitm_S_lower_bound","fitm_S_upper_bound","fitm_ratio_MLE","fitm_ratio_lower_bound","fitm_ratio_upper_bound","M_MLE","M_lower_bound","M_upper_bound","mu_off_MLE","mu_off_lower_bound","mu_off_upper_bound","S_MLE","S_lower_bound","S_upper_bound","mu_on_MLE","mu_on_lower_bound","mu_on_upper_bound","f_on_MLE","f_on_lower_bound","f_on_upper_bound","rel_div_on_MLE","rel_div_on_lower_bound","rel_div_on_upper_bound","mu_inc_MLE","mu_inc_lower_bound","mu_inc_upper_bound","LL","AIC","BIC"
"34","Baharoglu_MMC","hom_fitm_unconstr","failed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-Inf","-Inf","-Inf"
"35","Baharoglu_MMC","het_zero_div","failed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-Inf","-Inf","-Inf"
"36","Baharoglu_MMC","het_div","failed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-Inf","-Inf","-Inf"
"37","Baharoglu_Neo","no_SIM","success","2.49068259281997e-08","1.38141086107253e-08","3.74589191399856e-08","1","1","1","2.49068259281997e-08","1.38141086107253e-08","3.74589191399856e-08","1","1","1","1","1","1","1","1","1","2.49068259281997e-08","1.38141086107253e-08","3.74589191399856e-08","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-25.0006765294474","52.0013530588948","51.6107909713289"
"38","Baharoglu_Neo","hom_wo_fitm","success","1.92339367349197e-08","8.41554295120489e-09","3.25941891567763e-08","1","1","1","4.62460626071558e-08","2.08546294556071e-08","7.24902473001727e-08","1","1","1","1","1","1","2.40439922645658","0.639826606984988","8.6138526914409",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-23.2775952547088","50.5551905094175","46.5551905094175"
"39","Baharoglu_Neo","hom_fitm","failed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-Inf","-Inf","-Inf"
"40","Baharoglu_Neo","hom_fitm_unconstr","failed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-Inf","-Inf","-Inf"
"41","Baharoglu_Neo","het_zero_div","failed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-Inf","-Inf","-Inf"
"42","Baharoglu_Neo","het_div","failed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-Inf","-Inf","-Inf"
"43","Baharoglu_Rif","no_SIM","success","2.48670975911575e-08","1.36661412838133e-08","3.76959745487285e-08","1","1","1","2.48670975911575e-08","1.36661412838133e-08","3.76959745487285e-08","1","1","1","1","1","1","1","1","1","2.48670975911575e-08","1.36661412838133e-08","3.76959745487285e-08","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-25.2876627920939","52.5753255841878","52.1847634966219"
"44","Baharoglu_Rif","hom_wo_fitm","success","1.92339367349197e-08","8.41554295120489e-09","3.25941891567763e-08","1","1","1","5.15505692651979e-08","2.27568092899111e-08","8.18359941260845e-08","1","1","1","1","1","1","2.68018814742208","0.698186084042531","9.72438672116428",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-23.2764682980314","50.5529365960629","46.5529365960629"
"45","Baharoglu_Rif","hom_fitm","failed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-Inf","-Inf","-Inf"
"46","Baharoglu_Rif","hom_fitm_unconstr","failed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-Inf","-Inf","-Inf"
"47","Baharoglu_Rif","het_zero_div","failed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-Inf","-Inf","-Inf"
"48","Baharoglu_Rif","het_div","failed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-Inf","-Inf","-Inf"
"49","Baharoglu_Spec","no_SIM","success","2.42553898338366e-08","1.33819831715282e-08","3.67094248309958e-08","1","1","1","2.42553898338366e-08","1.33819831715282e-08","3.67094248309958e-08","1","1","1","1","1","1","1","1","1","2.42553898338366e-08","1.33819831715282e-08","3.67094248309958e-08","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-25.5323087471862","53.0646174943724","52.6740554068065"
"50","Baharoglu_Spec","hom_wo_fitm","success","1.92339367349197e-08","8.41554295120489e-09","3.25941891567763e-08","1","1","1","4.44945818925668e-08","1.82537018441309e-08","7.39196563354153e-08","1","1","1","1","1","1","2.31333722813935","0.560029327814586","8.78370614516701",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-24.1366250651499","52.2732501302997","48.2732501302997"
"51","Baharoglu_Spec","hom_fitm","failed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-Inf","-Inf","-Inf"
"52","Baharoglu_Spec","hom_fitm_unconstr","failed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-Inf","-Inf","-Inf"
"53","Baharoglu_Spec","het_zero_div","failed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-Inf","-Inf","-Inf"
"54","Baharoglu_Spec","het_div","failed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-Inf","-Inf","-Inf"
"55","Baharoglu_Tet","no_SIM","success","2.51131195617933e-08","1.38380843565789e-08","3.79539338789858e-08","1","1","1","2.51131195617933e-08","1.38380843565789e-08","3.79539338789858e-08","1","1","1","1","1","1","1","1","1","2.51131195617933e-08","1.38380843565789e-08","3.79539338789858e-08","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-26.1958662353043","54.3917324706085","54.0011703830426"
"56","Baharoglu_Tet","hom_wo_fitm","success","1.92339367349197e-08","8.41554295120489e-09","3.25941891567763e-08","1","1","1","5.11439600109049e-08","2.35201301740269e-08","7.89826633785839e-08","1","1","1","1","1","1","2.65904794820562","0.721605009435771","9.38533185993373",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-24.0890859366","52.1781718731999","48.1781718731999"
"57","Baharoglu_Tet","hom_fitm","failed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-Inf","-Inf","-Inf"
"58","Baharoglu_Tet","hom_fitm_unconstr","failed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-Inf","-Inf","-Inf"
"59","Baharoglu_Tet","het_zero_div","failed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-Inf","-Inf","-Inf"
"60","Baharoglu_Tet","het_div","failed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-Inf","-Inf","-Inf"
"61","Baharoglu_Tob","no_SIM","success","2.07375070895918e-08","1.15744100729337e-08","3.13480393645604e-08","1","1","1","2.07375070895918e-08","1.15744100729337e-08","3.13480393645604e-08","1","1","1","1","1","1","1","1","1","2.07375070895918e-08","1.15744100729337e-08","3.13480393645604e-08","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-22.6016853659751","47.2033707319501","46.8128086443842"
